Location,Plant,Zone,Aisle,Bin,Batch Number,Part Number,Part Description,Serial Number,Condition,Category,Owner,Criticality,Average Cost,Quantity,Unit of Measure (UoM)
YYC,Plant 2,B,3,B2,61856867,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 2,B,2,B3,61981940,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 3,C,1,A3,62533437,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 3,C,4,B1,63821920,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 2,B,1,B1,64304099,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 3,C,4,A1,64843747,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YUL,Plant 2,B,2,B1,65589463,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 3,C,1,B3,65964913,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 3,C,1,B3,66006541,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,1,A2,66035305,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 3,C,4,B3,66750070,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 1,A,1,A1,66984669,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 3,C,2,B1,67139461,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,2,A3,67383100,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 3,C,2,A5,67432573,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYC,Plant 2,B,4,B1,67553226,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 1,A,2,B3,67834081,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,2,B1,68000826,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YUL,Plant 2,B,2,A4,68334488,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YYZ,Plant 2,B,1,A3,68577245,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YVR,Plant 1,A,2,A6,68642198,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYZ,Plant 3,C,1,B2,68954245,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,3,A2,69237984,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 2,B,2,A5,69253432,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYZ,Plant 1,A,2,A9,69404961,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 1,A,2,A3,69601982,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YVR,Plant 3,C,2,B1,69708634,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YVR,Plant 1,A,1,B1,70030743,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 3,C,2,A4,71291801,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YUL,Plant 3,C,1,B2,71339617,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YUL,Plant 1,A,2,A1,71679792,PART-1,Dummy Part 1,SN-1,Serviceable,SERIALIZED,FG,," $10,000.00 ",1,EA
YVR,Plant 1,A,1,B2,71803829,PART-2,Dummy Part 2,SN-2,Serviceable,SERIALIZED,FG,," $120,000.00 ",1,EA
YYC,Plant 1,A,1,B3,73075436,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
YYZ,Plant 3,C,1,B2,73194458,PART-3,Dummy Part 3,SN-3,Serviceable,SERIALIZED,FG,," $150,000.00 ",1,EA
YYC,Plant 2,B,2,B1,73298957,PART-4,Dummy Part 4,SN-4,Serviceable,SERIALIZED,FG,," $9,000.00 ",1,EA
